// SpatialAnalyzer SA 2018.12.07_49785 ( x64 )  
// Points Relative to Coordinate Frame 'Block frame calcs 16Apr19::Block 1 frame'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Group,  Point,  X,  Y,  Z

Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_1,  -1254.7,  -12.2,  -1267.4
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_2,  -1245.7,  -9.7,  120.6
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_3,  -655.8,  -5.3,  141.9
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_4,  -666.9,  -6.9,  -1276.7
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_5,  -1232.6,  -9.5,  1291.8
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_6,  -648.8,  -4.8,  1245.2
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_1,  -601.9,  -4.7,  1262.2
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_2,  -18.0,  0.6,  1283.0
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_3,  -605.1,  -5.1,  117.5
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_4,  -28.6,  -0.1,  102.2
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_5,  -619.5,  -6.6,  -1264.6
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_6,  -40.4,  -0.7,  -1273.6
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_1,  139.5,  1.6,  -1293.0
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_2,  610.1,  6.3,  -1296.5
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_3,  499.5,  3.7,  -197.0
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_4,  24.8,  0.5,  196.4
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_5,  67.3,  1.1,  1221.8
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_6,  613.2,  5.0,  1163.2
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_1,  658.4,  5.1,  1198.5
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_2,  1213.2,  9.1,  1272.9
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_3,  655.9,  4.8,  427.4
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_4,  1246.4,  12.3,  -1308.6
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_5,  659.0,  6.5,  -1296.8
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_6,  1244.9,  9.3,  843.6
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_1,  -1254.5,  4193.1,  -1290.1
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_2,  -668.9,  4196.6,  -1284.4
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_3,  -667.3,  4199.4,  54.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_4,  -1253.5,  4195.7,  39.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_6,  -666.2,  4203.9,  1262.8
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_1,  -621.6,  4204.3,  1276.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_2,  -36.1,  4207.5,  1170.8
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_3,  -629.3,  4199.4,  -29.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_4,  -35.2,  4203.4,  63.1
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_5,  -40.2,  4200.9,  -1248.3
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_6,  -628.5,  4196.9,  -1249.0
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_1,  7.8,  4201.4,  -1285.3
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_2,  605.1,  4206.2,  -1078.3
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_3,  602.9,  4208.4,  63.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_4,  18.3,  4203.8,  82.3
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_5,  20.5,  4208.4,  1263.4
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_6,  606.9,  4213.0,  1233.3
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_1,  654.1,  4213.6,  1246.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_2,  1238.6,  4218.9,  1226.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_3,  1235.7,  4213.6,  -80.6
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_4,  650.8,  4208.7,  -48.8
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_5,  647.8,  4206.8,  -1124.3
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_6,  1229.9,  4211.7,  -1151.3
Block 1 Center Split points projected,  Block 1 Center Split_1 on object,  -4.7,  -0.1,  -1286.3
