// SpatialAnalyzer SA 2018.12.07_49785 ( x64 )  
// Points Relative to Coordinate Frame 'Block frame calcs 16Apr19::Primary with Y=0 at Nova Target'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Group,  Point,  X,  Y,  Z

Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_1,  111.0,  14624.1,  -1176.9
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_2,  133.6,  14625.7,  211.0
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_3,  723.7,  14621.5,  226.5
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_4,  698.6,  14620.9,  -1191.9
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_5,  158.2,  14625.1,  1382.0
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Outer_6,  741.6,  14621.3,  1329.7
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_1,  788.6,  14620.7,  1346.3
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_2,  1372.7,  14617.5,  1361.2
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_3,  774.2,  14621.0,  201.6
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_4,  1350.5,  14617.6,  180.7
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_5,  746.2,  14620.5,  -1180.3
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BL Inner_6,  1325.2,  14618.0,  -1195.0
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_1,  1504.9,  14617.6,  -1216.1
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_2,  1975.4,  14615.5,  -1224.3
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_3,  1875.6,  14614.0,  -123.7
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_4,  1404.9,  14617.5,  274.3
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_5,  1457.4,  14616.8,  1299.3
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Inner_6,  2002.7,  14612.8,  1235.3
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_1,  2048.2,  14612.2,  1270.1
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_2,  2603.7,  14608.2,  1339.1
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_3,  2038.2,  14612.4,  499.2
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_4,  2611.6,  14612.3,  -1242.6
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_5,  2024.4,  14615.0,  -1225.0
Block 1 UPST Plane Offset Points,  14Mar19::Block 1 UPST Plane (1.5" SMR)::Block 1 UPST Plane BR Outer_6,  2631.2,  14608.1,  909.6
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_1,  172.1,  18828.9,  -1197.8
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_2,  757.7,  18823.9,  -1197.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_3,  772.5,  18826.0,  141.4
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_4,  186.1,  18830.8,  131.4
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Outer_6,  785.5,  18829.8,  1349.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_1,  830.2,  18829.6,  1362.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_2,  1414.7,  18824.3,  1251.0
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_3,  809.7,  18825.5,  56.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_4,  1404.6,  18820.8,  143.4
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_5,  1386.7,  18819.2,  -1167.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BL Inner_6,  798.5,  18823.7,  -1162.8
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_1,  1434.4,  18819.0,  -1205.4
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_2,  2033.7,  18815.0,  -1004.3
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_3,  2042.6,  18816.6,  137.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_4,  1458.3,  18820.4,  162.0
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_5,  1472.2,  18824.3,  1343.1
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_6,  2058.2,  18820.4,  1307.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_1,  2105.6,  18820.3,  1319.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_2,  2689.9,  18817.1,  1294.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_3,  2674.0,  18812.6,  -12.8
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_4,  2089.5,  18816.2,  24.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_5,  2075.9,  18814.9,  -1050.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_6,  2657.7,  18811.4,  -1083.4
Block 1 Center Split points projected,  Block 1 Center Split_1 on object,  1360.8,  14618.1,  -1208.1
Block 1 Center Split points projected,  Block 1 Center Split_2 on object,  1360.9,  14618.1,  -1197.5
Block 1 Center Split points projected,  Block 1 Center Split_3 on object,  1360.9,  14618.1,  -1187.0
Block 1 Center Split points projected,  Block 1 Center Split_4 on object,  1360.9,  14618.1,  -1175.3
Block 1 Center Split points projected,  Block 1 Center Split_5 on object,  1361.1,  14618.1,  -1164.8
Block 1 Center Split points projected,  Block 1 Center Split_6 on object,  1361.4,  14618.1,  -1154.2
Block 1 Center Split points projected,  Block 1 Center Split_7 on object,  1362.1,  14618.0,  -1143.5
Block 1 Center Split points projected,  Block 1 Center Split_8 on object,  1361.5,  14618.0,  -1132.9
Block 1 Center Split points projected,  Block 1 Center Split_9 on object,  1361.6,  14618.0,  -1121.4
Block 1 Center Split points projected,  Block 1 Center Split_10 on object,  1361.3,  14618.0,  -1110.6
Block 1 Center Split points projected,  Block 1 Center Split_11 on object,  1361.5,  14618.0,  -1099.9
Block 1 Center Split points projected,  Block 1 Center Split_12 on object,  1361.7,  14618.0,  -1088.2
